Server Name;Url;Cms;Plugin or not;Version
demoweb.aukfood.ovh;collab01.demoweb.aukfood.ovh;collabora;Not a plugin;24.04-23
demoweb.aukfood.ovh;only1.demoweb.aukfood.ovh;onlyoffice;Not a plugin;8.2.0-143
demoweb.aukfood.ovh;Unknown;calcom;Not a plugin;Unknown
demoweb.aukfood.ovh;rvdemo01.demoweb.aukfood.ovh;calcom;Not a plugin;Unknown
demoweb.aukfood.ovh;Unknown;postgres;Not a plugin;3.7.9-2+deb12u2
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh;NextCloud;Not a plugin;29.0.8
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; activity;Plugin (enabled);2.21.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; circles;Plugin (enabled);29.0.0-dev
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; cloud_federation_api;Plugin (enabled);1.12.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; comments;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; contactsinteraction;Plugin (enabled);1.10.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; dashboard;Plugin (enabled);7.9.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; dav;Plugin (enabled);1.30.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; federatedfilesharing;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; federation;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files;Plugin (enabled);2.1.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_downloadlimit;Plugin (enabled);2.0.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_pdfviewer;Plugin (enabled);2.10.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_reminders;Plugin (enabled);1.2.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_sharing;Plugin (enabled);1.21.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_trashbin;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_versions;Plugin (enabled);1.22.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; firstrunwizard;Plugin (enabled);2.18.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; logreader;Plugin (enabled);2.14.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; lookup_server_connector;Plugin (enabled);1.17.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; nextcloud_announcements;Plugin (enabled);1.18.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; notifications;Plugin (enabled);2.17.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; oauth2;Plugin (enabled);1.17.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; password_policy;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; photos;Plugin (enabled);2.5.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; privacy;Plugin (enabled);1.13.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; provisioning_api;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; recommendations;Plugin (enabled);2.1.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; related_resources;Plugin (enabled);1.4.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; serverinfo;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; settings;Plugin (enabled);1.12.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; sharebymail;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; support;Plugin (enabled);1.12.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; survey_client;Plugin (enabled);1.17.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; systemtags;Plugin (enabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; text;Plugin (enabled);3.10.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; theming;Plugin (enabled);2.4.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; twofactor_backupcodes;Plugin (enabled);1.18.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; updatenotification;Plugin (enabled);1.19.1
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; user_status;Plugin (enabled);1.9.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; viewer;Plugin (enabled);2.3.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; weather_status;Plugin (enabled);1.9.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; workflowengine;Plugin (enabled);2.11.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; admin_audit;Plugin (disabled);1.19.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; bruteforcesettings;Plugin (disabled);2.9.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; encryption;Plugin (disabled);2.17.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; files_external;Plugin (disabled);1.21.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; suspicious_login;Plugin (disabled);7.0.0
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; twofactor_totp;Plugin (disabled);11.0.0-dev
demoweb.aukfood.ovh;demo02.demoweb.aukfood.ovh; user_ldap;Plugin (disabled);1.20.0
demoweb.aukfood.ovh;demo03.demoweb.aukfood.ovh;NextCloud;Not a plugin;29.0.8
demoweb.aukfood.ovh;demo03.demoweb.aukfood.ovh; activity;Plugin (enabled);2.21.1
